<<<<<<< HEAD
02/06/2021,MMA Series 25,Storm,"School of Martial Arts Storm, Omsk, Russia"
02/06/2021,One Pride MMA Fight Night 41,Pasulatan vs. Mamana 2,"Studio ANTV, Jakarta, Indonesia"
02/06/2021,SAFC,Southeast Asia Fighting Championship: Potion Fight Night,"Bangkok, Thailand"
02/06/2021,CAM,Circuito Argentino de MMA,"Buenos Aires, Argentina"
02/06/2021,Brutaal Genesis Fight Night,Fort Frenzy 13,"Fort Frenzy, Fort Dodge, Iowa, United States"
02/06/2021,JFC,Jacara Fight Combat: MMA Loving 2,"CT LC Team, Jacaraipe, Espirito Santo, Brazil"
02/06/2021,GFC 004,El Tigre vs. Croes ,"Coliseo Ventura Castillo, la Dorada, Caldas, Colombia."
02/06/2021,Hombres De Honor 104,Team Gamma Espana vs. Team Gamma Francia,"Pabellon Municipal de Deportes de Fontanar, Fontanar, Spain"
02/06/2021,The Golden Cage 3,Damiani vs. Saccaro ,"Heaven Arena, Rome, Italy"
02/06/2021,BFF,Beast Championship 5: Crowning of Champions,"Chandler Theatre, Brisbane, Queensland, Australia"
02/06/2021,Ultimate Battle Grounds 6,MMA Super Bowl,"Landmark Resort, Myrtle Beach, South Carolina, United States"
02/06/2021,Contenders East Anglia,Contenders Norwich 31,"Norwich, England"
02/06/2021,HRMMA,Hardrock MMA 117,"Paroquet Springs Conference Center, Shepherdsville, Kentucky, United States"
02/06/2021,UFC Fight Night 184,Overeem vs. Volkov,"UFC Apex, Las Vegas, Nevada, United States"
02/06/2021,Rough Fight League,CSJA 1st All Martial Arts Championships,"Calabar High School, Kingston, Jamaica"
02/05/2021,Combat Quest 12,Super Brawl,"Rhino Arena, Westchase, Florida, United States"
02/05/2021,VFC 78,Valor Fighting Challenge 78,"Cotton Eyed Joe, Knoxville, Tennessee, United States"
02/05/2021,One Championship,Unbreakable 3,"Singapore Indoor Stadium, Singapore"
01/31/2021,UMMA,Cup Of Chuvashia 2021,"Chuvashia, Russia"
01/31/2021,UMMA,Cup Of Samara 2021,"Samara, Russia"
01/31/2021,XFN 32,Xtreme Fighting Nation 32,"Renegades, West Palm Beach, Florida, United States"
01/31/2021,FC 26,Fight Clubbing 26,"Edoardo Molisani Sports Hall, Monteodorisio, Italy"
01/31/2021,SFL 54,Siberian Fighting League 54: Battle 2,"Coober Extreme Center, Novosibirsk, Russia"
01/31/2021,Shooto,Professional Shooto 2021,"New Pier Hall, Tokyo, Japan"
01/31/2021,One Punch Club,One Punch Club Fight Night,"School Block Mandawali, Delhi, Delhi, India"
01/30/2021,IMMAF World Qualifiers,Rio de Janeiro,"New Corpore Arena, Rio de Janeiro, Rio de Janeiro, Brazil"
01/30/2021,RITC,Rage in the Cage OKC 78: In Glorious Battle We Trust,"The Great Plains Coliseum, Lawton, Oklahoma, United States"
01/30/2021,305 Fights,Where Champions Rise 10,"Cachita Universal Studios, Miami, Florida, United States"
01/30/2021,CFL 1,Cage Fighting League 1,"Sulaymaniyah, Iraq"
01/30/2021,Shogun Roots 1,Torres vs. Himbo ,"Quito, Ecuador."
01/30/2021,AFC 4,Centeno vs. Narvaez ,"Santo Domingo, Ecuador."
01/30/2021,Kars FC,Road to Kars 3,"Parika Night Club, Kharkov, Ukraine"
01/30/2021,NFC 129,National Fighting Championship 129,"District Atlanta, Atlanta, Georgia, United States"
01/30/2021,XMMA,Vick vs. Fialho,"Palm Beach Convention Center, West Palm Beach, Florida, United States"
01/30/2021,CN 123,Combat Night 123,"Gilt Nightclub, Orlando, Florida, United States"
01/30/2021,DCS 67,New Years Knockouts,"Ramada Plaza, Omaha, Nebraska, United States"
01/30/2021,EFC Global/AFC,Joint Tournament,"Circus Arena, Bishkek, Kyrgyzstan"
01/30/2021,SCL,Sparta Wyoming 5,"The Outlaw Saloon, Cheyenne, Wyoming, United States"
01/30/2021,Oktagon MMA,Oktagon 21,"Zoner BOBYHALL, Brno, Czech Republic"
01/30/2021,OCL,Ohio Combat League 9,"Ohio Event Center at Cherry Valley Hotel, Newark, Ohio, United States"
01/30/2021,KSW 58,Parnasse vs. Torres,"Wytwornia Club, Lodz, Poland"
01/30/2021,Dazn,Kovalev vs. Melikuziev,Streaming live on Dazn.
01/30/2021,GAMMA,Canarias Pro Fight - Open MMA Amateur,"Pabellon Mario Pestano, Villa de Arico, Spain"
01/30/2021,SMMA 16,Showcase MMA 16,"Meadowview Convention Center, Kingsport, Tennessee, United States"
01/30/2021,Peak Fighting 7,The Proving Ground,"Texarkana Arkansas Convention Center, Texarkana, Arkansas, United States"
01/30/2021,MMA Live 9,MMA Live Championship 9,"Duisburg, Germany"
01/30/2021,Carpathian Warriors 9,TBA,"Rzeszow, Poland"
01/30/2021,Wirtuoz Challenge,Special Edition,"Hala Sportowa Wolborz, Wolborz, Poland"
01/30/2021,ToM,Time of Masters: Independence Day,"SP nr 5, Białogard, Poland"
01/30/2021,ACA YE 16,ACA Young Eagles 16: Flyweight Grand Prix 2021,"Tolstoy-Yurt, Chechnya, Russia"
01/30/2021,WLMMA,We Love MMA 60,"CASTELLO Düsseldorf, Dusseldorf, North Rhine-Westphalia, Germany"
01/29/2021,UMMA,Cup Of Orenburg 2021,"Orenburg, Russia"
01/29/2021,GEC 2,GalAna Exclusive Championship,"Alam Al Reyada, Cairo, Egypt"
01/29/2021,NFC 28,Naiza Fighter Championship 28,"Almaty, Kazakhstan"
01/29/2021,LFA 98,Fremd vs. Oliveira,"Hartman Arena, Park City, Kansas, United States"
01/29/2021,One Championship,Unbreakable 2,"Singapore Indoor Stadium, Singapore"
01/29/2021,Peak Fighting 6,Domination,"Texarkana Arkansas Convention Center, Texarkana, Arkansas, United States"
01/29/2021,WLC 8,New Bloody Game,"Wisniowa Gora, Poland"
01/28/2021,ALFC 6,Afghanistan Lions Fighting Championship 6,"3Sport Studio, Karti-4, Kabul, Afghanistan"
01/28/2021,KFC 4,King Fighting Championship 4,"3sport Studio, Karti-4, Kabul, Afghanistan"
01/28/2021,XKO,Xtreme Knockout 49: Friday Night,"Billy Bob's Texas, Fort Worth, Texas"
01/27/2021,R3FC,R3 Fighting Championship,"St. Petersburg, Russia"
01/27/2021,Octagon Promotion,Octagon Selection Vol. 15,"Almaty, Kazakhstan"
01/27/2021,GalAna Exclusive Championship,Road To GalAna 2,"ALAM AL REYADA, CAIRO, EGYPT"
01/24/2021,OC,Oplot Challenge 113,"Moscow, Russia"
01/24/2021,Land of the Fathers,Open Chernozem League Grand Prix,"Club Aura, Voronezh, Russia"
01/24/2021,Enter The Dragon 5,WOTD: ETD 05,"Taipei Gymnasium, Taipei, Taiwan"
01/24/2021,CFC 12,Combats de MMA,"Douala, Cameroon"
01/24/2021,WCF,Wardog Cage Fight 28,"Sekaikan, Osaka, Japan"
01/24/2021,Colosseum MMA,Battle of Champions 18,"Moscow, Russia"
01/23/2021,Athletic Spirit,Professional MMA and Grappling,"Club Kefir & Gantell, Moscow, Russia"
01/23/2021,JCK,Jue Cheng King,"Haikou, Hainan, China"
01/23/2021,Knuckled Up Promotions,Fight Show 3,"Locust Creek Event Center, Brookfield, Missouri, United States"
01/23/2021,FMD,Full Metal Dojo: Bare-Knuckle Kingdom,"Insanity Night Club, Bangkok, Thailand"
01/23/2021,GCMMA,Gulf Coast MMA 8,"Mississippi Coast Coliseum and Convention Center, Biloxi, Mississippi, United States"
01/23/2021,Yamal Fighter Championship,VII Yanao MMA Championship,"Salekhard, Russia"
01/23/2021,LLC 6,LeLeo Code MMA 6,"Hilton Orlando/Altamonte Springs, Altamonte Springs, Florida, United States"
01/23/2021,MMA Series 24,Heart & Fist of Bashkortostan,"Ufa, Bashkortostan, Russia"
01/23/2021,WCF,Wardog Cage Fight 27,"Sekaikan, Osaka, Japan"
01/23/2021,SHP 58,Strike Hard Productions 58,"Trussville Civic Center, Trussville, Alabama, United States"
01/23/2021,UFL 5,Ultimate Fight League 5: Next Gen,"Behind Closed Doors Event, London, England"
01/23/2021,UFC 257,Poirier vs. McGregor 2,"Etihad Arena, Yas Island, Abu Dhabi, United Arab Emirates"
01/23/2021,PMMAC,Premier MMA Championship 15,"Hits Entertainment Complex, Covington, Kentucky, United States"
01/22/2021,Nashe Delo 5,Efimov vs. Agachev,"Moscow, Russia"
01/22/2021,PFC MMA,PFC GFC,"HFC Gym Basaksehir, Istanbul, Turkey"
01/22/2021,OFC Challenge,Original Fighting Championship: OFC vs. HFC,"Kabul, Afghanistan"
01/22/2021,ADW,UAE Warriors Arabia,"Jiu Jitsu Arena, Abu Dhabi, United Arab Emirates"
01/22/2021,One Championship,Unbreakable,"Singapore Indoor Stadium, Singapore"
01/22/2021,AFN 9,Armia Fight Night,Poland
01/22/2021,FNG,Fight Nights Global: Steel Heart 11,"Metallurg Arena, Magnitogorsk, Russia"
01/20/2021,UFC on ESPN 20,Chiesa vs. Magny,"Etihad Arena, Yas Island, Abu Dhabi, United Arab Emirates"
01/17/2021,Hooligan Fight Show,SBE (MMA) Tula,"Hooligam Gum Tula, Tula, Russia"
01/17/2021,Time To Fight 68,Dolgoprudny,"Dolgoprudny, Russia"
=======
date,eventName,eventTitle,location
02/14/2021,OFC 4,Original Fighting Championship 4,"3 Sport Studio, Karti-4, Kabul, Afghanistan"
02/14/2021,ALMMA 190,Bull Terror Challenge,"Hala Sportowa Zespołu Szkół Ogólnokształcących nr 2, Puławy, Poland"
02/14/2021,UMMA,Cup Of Smolensk 2021,"Smolensk, Russia"
02/14/2021,UMMA,Cup Of Dagestan 2021,"Dagestan, Russia"
02/13/2021,X1 Kombat ,X1 Kombat 3,"CT Maori Team, Contagem, Minas Gerais, Brazil"
02/13/2021,Fight Quest 1,The Beginning,"Revolution Martial Arts & Performance Fitness, Inman, South Carolina, United States"
02/13/2021,RCF 14,Red City Fights 14,"Yoshkar-Ola, Russia"
02/13/2021,Square Ring Promotions,Island Fights 66,"Pensacola Hadji Shrine, Pensacola, Florida, United States"
02/13/2021,UMMA,Cup Of Udmurtia 2021,"Dynamo Sports Complex, Udmurtia, Russia"
02/13/2021,MTF 22,St. George,"Legacy Park, Hurricane, Utah, United States"
02/13/2021,NG Promotions,MMA VIP,Poland
02/13/2021,DFC,Dominium Fighter Championship 4,"Campinas, Sao Paulo, Brazil"
02/13/2021,Sul Fluminense Fight Night,SFFN 1,"Tres Rios, Rio de Janeiro, Brazil"
02/13/2021,EMMA,Eternal MMA 56: Perth,"HBF Stadium, Perth, Western Australia, Australia"
02/13/2021,JFC 3,Jacara Fight Combat 3,"CT LC Team, Jacaraípe, Espirito Santo, Brazil"
02/13/2021,NFT Gym,National Fighting Championship 3,"Krefeld, North Rhine-Westphalia, Germany"
02/13/2021,UFC 258,Usman vs. Burns,"UFC Apex, Las Vegas, Nevada, United States"
02/13/2021,XFC,Demolition Fight Series 2,"Club Italia Sporting Club, St Albans, Victoria, Australia"
02/12/2021,PCFL 8,Pro Combat Fight League Fight Night 8,"Arya City, Kabul, Afghanistan"
02/12/2021,AFL 4,Azteca Fight League 4,"Monterrey, Mexico"
02/12/2021,PFL KG and Jolbors Team,PFL Selection,"Hollywood Disco Club, Karakol, Kyrgyzstan"
02/12/2021,Babilon MMA 19,Stawowy vs. Szaflarski,Poland
02/12/2021,Titan FC 67,Sabatello vs. Blackshear,"InterContinental Hotel Miami, Miami, Florida, United States"
02/12/2021,LFA 99,Dennis vs. Cherant,"Hartman Arena, Park City, Kansas, United States"
02/12/2021,ACA 117,Bagov vs. Silverio,Russia
02/12/2021,Arena Global,Arena Global 10,"Rio de Janeiro, Rio de Janeiro, Brazil"
02/12/2021,TMMA 1,Triumph MMA 1,"Fusion Liverpool, Liverpool, England"
02/12/2021,BFL 66,Battlefield Fight League,"Vancouver, British Columbia, Canada"
02/11/2021,TGFC 11,Champions Fight Night Season 3,"Ghazi Stadium, Kabul, Afghanistan"
02/10/2021,KFC,King Fighting Championship Fight Night ,"3sport Studio, Karti-4, Kabul, Afghanistan"
02/10/2021,OFC,Original Fighting Championship Fight Night: Shamshad vs. Nesar,"3 Sport Studio Karti-4, Kabul, Afghanistan"
02/09/2021,EFC 33,Eagle Fighting Championship 33,"Moscow, Russia"
02/07/2021,Tatfight,Martial Arts Festival,"SOK Druzhba, Nizhnekamsk, Tatarstan, Russia"
02/07/2021,UMMA,Cup Of Crimea 2021,"Simferopol, Ukraine"
02/07/2021,UMMA,Cup Of Penza 2021,"Penza, Russia"
02/07/2021,UMMA,Cup Of Ryazan 2021,"Ryazan, Russia"
02/07/2021,The Hero,Pro Fight Night 4: Fighter's Breed,"The Hero MMA Academy, Nashik, India"
02/07/2021,Gladiator,Gladiator 013 in Osaka,"176Box, Toyonaka, Osaka, Japan"
02/06/2021,PFL,Premier Fight League 27,"Champions Florida Sport Bar & Complex, Doral, Florida, United States"
02/06/2021,GCF 54,Gladiator Combat Fight 54,"Curitiba, Parana, Brazil"
02/06/2021,MMA Series 25,Storm,"School of Martial Arts Storm, Omsk, Russia"
02/06/2021,One Pride MMA Fight Night 41,Pasulatan vs. Mamana 2,"Studio ANTV, Jakarta, Indonesia"
02/06/2021,SAFC,Southeast Asia Fighting Championship: Potion Fight Night,"Bangkok, Thailand"
02/06/2021,CAM,Circuito Argentino de MMA,"Buenos Aires, Argentina"
02/06/2021,Brutaal Genesis Fight Night,Fort Frenzy 13,"Fort Frenzy, Fort Dodge, Iowa, United States"
02/06/2021,JFC,Jacara Fight Combat: MMA Loving 2,"CT LC Team, Jacaraipe, Espirito Santo, Brazil"
02/06/2021,GFC 004,El Tigre vs. Croes ,"Coliseo Ventura Castillo, la Dorada, Caldas, Colombia."
02/06/2021,Hombres De Honor 104,Team Gamma Espana vs. Team Gamma Francia,"Pabellon Municipal de Deportes de Fontanar, Fontanar, Spain"
02/06/2021,The Golden Cage 3,Damiani vs. Saccaro ,"Heaven Arena, Rome, Italy"
02/06/2021,BFF,Beast Championship 5: Crowning of Champions,"Chandler Theatre, Brisbane, Queensland, Australia"
02/06/2021,Ultimate Battle Grounds 6,MMA Super Bowl,"Landmark Resort, Myrtle Beach, South Carolina, United States"
02/06/2021,Contenders East Anglia,Contenders Norwich 31,"Norwich, England"
02/06/2021,HRMMA,Hardrock MMA 117,"Paroquet Springs Conference Center, Shepherdsville, Kentucky, United States"
02/06/2021,UFC Fight Night 184,Overeem vs. Volkov,"UFC Apex, Las Vegas, Nevada, United States"
02/06/2021,Rough Fight League,CSJA 1st All Martial Arts Championships,"Calabar High School, Kingston, Jamaica"
02/05/2021,Combat Quest 12,Super Brawl,"Rhino Arena, Westchase, Florida, United States"
02/05/2021,VFC 78,Valor Fighting Challenge 78,"Cotton Eyed Joe, Knoxville, Tennessee, United States"
02/05/2021,One Championship,Unbreakable 3,"Singapore Indoor Stadium, Singapore"
01/31/2021,UMMA,Cup Of Chuvashia 2021,"Chuvashia, Russia"
01/31/2021,UMMA,Cup Of Samara 2021,"Samara, Russia"
01/31/2021,XFN 32,Xtreme Fighting Nation 32,"Renegades, West Palm Beach, Florida, United States"
01/31/2021,FC 26,Fight Clubbing 26,"Edoardo Molisani Sports Hall, Monteodorisio, Italy"
01/31/2021,SFL 54,Siberian Fighting League 54: Battle 2,"Coober Extreme Center, Novosibirsk, Russia"
01/31/2021,Shooto,Professional Shooto 2021,"New Pier Hall, Tokyo, Japan"
01/31/2021,One Punch Club,One Punch Club Fight Night,"School Block Mandawali, Delhi, Delhi, India"
01/30/2021,IMMAF World Qualifiers,Rio de Janeiro,"New Corpore Arena, Rio de Janeiro, Rio de Janeiro, Brazil"
01/30/2021,RITC,Rage in the Cage OKC 78: In Glorious Battle We Trust,"The Great Plains Coliseum, Lawton, Oklahoma, United States"
01/30/2021,305 Fights,Where Champions Rise 10,"Cachita Universal Studios, Miami, Florida, United States"
01/30/2021,CFL 1,Cage Fighting League 1,"Sulaymaniyah, Iraq"
01/30/2021,Shogun Roots 1,Torres vs. Himbo ,"Quito, Ecuador."
01/30/2021,AFC 4,Centeno vs. Narvaez ,"Santo Domingo, Ecuador."
01/30/2021,Kars FC,Road to Kars 3,"Parika Night Club, Kharkov, Ukraine"
01/30/2021,NFC 129,National Fighting Championship 129,"District Atlanta, Atlanta, Georgia, United States"
01/30/2021,XMMA,Vick vs. Fialho,"Palm Beach Convention Center, West Palm Beach, Florida, United States"
01/30/2021,CN 123,Combat Night 123,"Gilt Nightclub, Orlando, Florida, United States"
01/30/2021,DCS 67,New Years Knockouts,"Ramada Plaza, Omaha, Nebraska, United States"
01/30/2021,EFC Global/AFC,Joint Tournament,"Circus Arena, Bishkek, Kyrgyzstan"
01/30/2021,SCL,Sparta Wyoming 5,"The Outlaw Saloon, Cheyenne, Wyoming, United States"
01/30/2021,Oktagon MMA,Oktagon 21,"Zoner BOBYHALL, Brno, Czech Republic"
01/30/2021,OCL,Ohio Combat League 9,"Ohio Event Center at Cherry Valley Hotel, Newark, Ohio, United States"
01/30/2021,KSW 58,Parnasse vs. Torres,"Wytwornia Club, Lodz, Poland"
01/30/2021,Dazn,Kovalev vs. Melikuziev,Streaming live on Dazn.
01/30/2021,GAMMA,Canarias Pro Fight - Open MMA Amateur,"Pabellon Mario Pestano, Villa de Arico, Spain"
01/30/2021,SMMA 16,Showcase MMA 16,"Meadowview Convention Center, Kingsport, Tennessee, United States"
01/30/2021,Peak Fighting 7,The Proving Ground,"Texarkana Arkansas Convention Center, Texarkana, Arkansas, United States"
01/30/2021,MMA Live 9,MMA Live Championship 9,"Duisburg, Germany"
01/30/2021,Carpathian Warriors 9,TBA,"Rzeszow, Poland"
01/30/2021,Wirtuoz Challenge,Special Edition,"Hala Sportowa Wolborz, Wolborz, Poland"
01/30/2021,ToM,Time of Masters: Independence Day,"SP nr 5, Białogard, Poland"
01/30/2021,ACA YE 16,ACA Young Eagles 16: Flyweight Grand Prix 2021,"Tolstoy-Yurt, Chechnya, Russia"
01/30/2021,WLMMA,We Love MMA 60,"CASTELLO Düsseldorf, Dusseldorf, North Rhine-Westphalia, Germany"
01/29/2021,UMMA,Cup Of Orenburg 2021,"Orenburg, Russia"
01/29/2021,GEC 2,GalAna Exclusive Championship,"Alam Al Reyada, Cairo, Egypt"
01/29/2021,NFC 28,Naiza Fighter Championship 28,"Almaty, Kazakhstan"
01/29/2021,LFA 98,Fremd vs. Oliveira,"Hartman Arena, Park City, Kansas, United States"
01/29/2021,One Championship,Unbreakable 2,"Singapore Indoor Stadium, Singapore"
01/29/2021,Peak Fighting 6,Domination,"Texarkana Arkansas Convention Center, Texarkana, Arkansas, United States"
01/29/2021,WLC 8,New Bloody Game,"Wisniowa Gora, Poland"
01/28/2021,ALFC 6,Afghanistan Lions Fighting Championship 6,"3Sport Studio, Karti-4, Kabul, Afghanistan"
01/28/2021,KFC 4,King Fighting Championship 4,"3sport Studio, Karti-4, Kabul, Afghanistan"
01/28/2021,XKO,Xtreme Knockout 49: Friday Night,"Billy Bob's Texas, Fort Worth, Texas"
01/27/2021,R3FC,R3 Fighting Championship,"St. Petersburg, Russia"
01/27/2021,Octagon Promotion,Octagon Selection Vol. 15,"Almaty, Kazakhstan"
01/27/2021,GalAna Exclusive Championship,Road To GalAna 2,"ALAM AL REYADA, CAIRO, EGYPT"
01/24/2021,OC,Oplot Challenge 113,"Moscow, Russia"
01/24/2021,Land of the Fathers,Open Chernozem League Grand Prix,"Club Aura, Voronezh, Russia"
01/24/2021,Enter The Dragon 5,WOTD: ETD 05,"Taipei Gymnasium, Taipei, Taiwan"
01/24/2021,CFC 12,Combats de MMA,"Douala, Cameroon"
01/24/2021,WCF,Wardog Cage Fight 28,"Sekaikan, Osaka, Japan"
01/24/2021,Colosseum MMA,Battle of Champions 18,"Moscow, Russia"
01/23/2021,Athletic Spirit,Professional MMA and Grappling,"Club Kefir & Gantell, Moscow, Russia"
01/23/2021,JCK,Jue Cheng King,"Haikou, Hainan, China"
01/23/2021,Knuckled Up Promotions,Fight Show 3,"Locust Creek Event Center, Brookfield, Missouri, United States"
01/23/2021,FMD,Full Metal Dojo: Bare-Knuckle Kingdom,"Insanity Night Club, Bangkok, Thailand"
01/23/2021,GCMMA,Gulf Coast MMA 8,"Mississippi Coast Coliseum and Convention Center, Biloxi, Mississippi, United States"
01/23/2021,Yamal Fighter Championship,VII Yanao MMA Championship,"Salekhard, Russia"
01/23/2021,LLC 6,LeLeo Code MMA 6,"Hilton Orlando/Altamonte Springs, Altamonte Springs, Florida, United States"
01/23/2021,MMA Series 24,Heart & Fist of Bashkortostan,"Ufa, Bashkortostan, Russia"
01/23/2021,WCF,Wardog Cage Fight 27,"Sekaikan, Osaka, Japan"
01/23/2021,SHP 58,Strike Hard Productions 58,"Trussville Civic Center, Trussville, Alabama, United States"
01/23/2021,UFL 5,Ultimate Fight League 5: Next Gen,"Behind Closed Doors Event, London, England"
01/23/2021,UFC 257,Poirier vs. McGregor 2,"Etihad Arena, Yas Island, Abu Dhabi, United Arab Emirates"
01/23/2021,PMMAC,Premier MMA Championship 15,"Hits Entertainment Complex, Covington, Kentucky, United States"
01/22/2021,Nashe Delo 5,Efimov vs. Agachev,"Moscow, Russia"
01/22/2021,PFC MMA,PFC GFC,"HFC Gym Basaksehir, Istanbul, Turkey"
01/22/2021,OFC Challenge,Original Fighting Championship: OFC vs. HFC,"Kabul, Afghanistan"
01/22/2021,ADW,UAE Warriors Arabia,"Jiu Jitsu Arena, Abu Dhabi, United Arab Emirates"
01/22/2021,One Championship,Unbreakable,"Singapore Indoor Stadium, Singapore"
01/22/2021,AFN 9,Armia Fight Night,Poland
01/22/2021,FNG,Fight Nights Global: Steel Heart 11,"Metallurg Arena, Magnitogorsk, Russia"
01/20/2021,UFC on ESPN 20,Chiesa vs. Magny,"Etihad Arena, Yas Island, Abu Dhabi, United Arab Emirates"
01/17/2021,Hooligan Fight Show,SBE (MMA) Tula,"Hooligam Gum Tula, Tula, Russia"
01/17/2021,Time To Fight 68,Dolgoprudny,"Dolgoprudny, Russia"
>>>>>>> 263da8141b56ca54c4d8460c45eccece6cfd0d6e
