name,birthDate,age,height,weight,association,fighterClass,win,loss,nationality,locality,url
jesus curioso,None,None,68,145,None,featherweight,0,0,United States,-Long Beach California-,https://www.sherdog.com/fighter/Jesus-Curioso-135027
lisha debnath,None,None,None,115,None,strawweight,0,1,India,None,https://www.sherdog.com/fighter/Lisha-Debnath-349165
cody lewis,07/14/1986,35,67,145,griffonrawl thaiboxing & mma academy,featherweight,0,0,United States,-Jefferson Ohio-,https://www.sherdog.com/fighter/Cody-Lewis-112511
tim isaac,10/14/1984,37,None,145,None,featherweight,0,0,United States,None,https://www.sherdog.com/fighter/Tim-Isaac-129159
sergio castanon,None,None,67,145,kreitzman mma,featherweight,0,0,United States,-Rancho Cucamonga California-,https://www.sherdog.com/fighter/Sergio-Castanon-173847
brandon hartstein,None,None,67,135,subfighter mma,bantamweight,0,0,United States,-Irvine California-,https://www.sherdog.com/fighter/Brandon-Hartstein-165653
terry smith,06/24/1988,33,67,135,ohio valley mma,bantamweight,0,0,United States,-Bellaire Ohio-,https://www.sherdog.com/fighter/Terry-Smith-136583
dib kaddah,11/22/1991,30,68,143,cleveland state mma club,featherweight,0,0,United States,-Westlake Ohio-,https://www.sherdog.com/fighter/Dib-Kaddah-112517
julio aguilera,None,None,71,155,team quest,lightweight,0,2,United States,-Murrieta California-,https://www.sherdog.com/fighter/Julio-Aguilera-99119
thomas landeros,12/14/1993,28,66,135,united mixed martial arts,bantamweight,1,1,United States,-Whittier California-,https://www.sherdog.com/fighter/Thomas-Landeros-128071
mario micale,06/13/1986,35,65,135,evolve mma,bantamweight,0,0,United States,-Akron Ohio-,https://www.sherdog.com/fighter/Mario-Micale-75145
darnell pettis,12/30/1990,31,66,127,brickhouse boxing,bantamweight,0,3,United States,-Bedford Ohio-,https://www.sherdog.com/fighter/Darnell-Pettis-112515
andre camarena,None,None,68,155,None,lightweight,0,0,United States,-San Gabriel California-,https://www.sherdog.com/fighter/Andre-Camarena-139187
michael witzerman,None,None,66,145,ufc gym,featherweight,0,0,United States,-San Pedro California-,https://www.sherdog.com/fighter/Michael-Witzerman-195873
joseph dabila,None,None,69,125,None,flyweight,0,0,United States,-Ravenna Ohio-,https://www.sherdog.com/fighter/Joseph-Dabila-83206
chris mckinney,07/23/1987,34,66,135,sam's gym,bantamweight,1,2,United States,-Beckley West Virginia-,https://www.sherdog.com/fighter/Chris-McKinney-126043
dakota hughes,None,None,68,155,ring of fire mma,lightweight,0,0,United States,-Monrovia California-,https://www.sherdog.com/fighter/Dakota-Hughes-197291
ronald henderson,None,None,60,125,black house mma,flyweight,0,0,United States,-Los Angeles California-,https://www.sherdog.com/fighter/Ronald-Henderson-193609
artie ortega,None,None,64,145,None,featherweight,0,0,United States,-Westminster California-,https://www.sherdog.com/fighter/Artie-Ortega-195871
james douglas ballinger,None,None,72,145,georgetown mma,featherweight,2,9,United States,-Georgetown Kentucky-,https://www.sherdog.com/fighter/James-Douglas-Ballinger-48032
anthony williams,None,None,67,155,csw,lightweight,0,0,United States,-Covina California-,https://www.sherdog.com/fighter/Anthony-Williams-197171
jeremy gendreau,None,None,64,125,ol' skool boxing,flyweight,0,0,United States,-La Mirada California-,https://www.sherdog.com/fighter/Jeremy-Gendreau-139179
jose manuel huerta,08/20/1991,30,63,125,alliance mma,flyweight,1,1,United States,-Torrance California-,https://www.sherdog.com/fighter/Jose-Manuel-Huerta-230985
jim hettes,06/9/1987,34,69,145,northeast jiu-jitsu,featherweight,11,3,United States,-Swoyersville Pennsylvania-,https://www.sherdog.com/fighter/Jim-Hettes-48046
fernando    gonzalez,None,None,67,145,imac,featherweight,0,0,United States,-Anaheim California-,https://www.sherdog.com/fighter/Fernando-Gonzalez-193555
justin hormann,None,None,68,125,tapout los angeles,flyweight,0,0,United States,-Los Angeles California-,https://www.sherdog.com/fighter/Justin-Hormann-139175
john moore,None,None,66,135,team ed keller,bantamweight,0,0,United States,-Santa Clarita California-,https://www.sherdog.com/fighter/John-Moore-149991
bobby gorham,None,None,69,145,None,featherweight,1,5,United States,-Pennsylvania-,https://www.sherdog.com/fighter/Bobby-Gorham-20964
craig ramirez,None,None,70,145,subfighter mma,featherweight,0,0,United States,-Lakewood California-,https://www.sherdog.com/fighter/Craig-Ramirez-193557
nick gentile,None,None,68,150,None,lightweight,0,1,None,None,https://www.sherdog.com/fighter/Nick-Gentile-83268
steven baker,None,None,70,135,primal fighting systems,bantamweight,3,9,United States,-Wilmington Delaware-,https://www.sherdog.com/fighter/Steven-Baker-42041
marc purcell,None,None,None,None,None,None,0,3,None,None,https://www.sherdog.com/fighter/Marc-Purcell-14935
jae hwang,None,None,69,145,triunfo mma,featherweight,0,0,United States,-Irvine California-,https://www.sherdog.com/fighter/Jae-Hwang-162919
mark rodriguez,None,None,None,145,None,featherweight,0,0,United States,None,https://www.sherdog.com/fighter/Mark-Rodriguez-53260
mike manion,None,None,None,None,None,None,0,0,None,None,https://www.sherdog.com/fighter/Mike-Manion-42042
jack wilmarth,None,None,None,None,None,None,4,2,None,None,https://www.sherdog.com/fighter/Jack-Wilmarth-11558
edwin requena,None,None,65,155,total mma studios,lightweight,0,0,United States,-Orange California-,https://www.sherdog.com/fighter/Edwin-Requena-165665
julio rios,None,None,68,145,stand your ground mma,featherweight,0,0,United States,-Santa Ana California-,https://www.sherdog.com/fighter/Julio-Rios-183563
daniel alvarez,11/13/1989,32,66,145,team oyama,featherweight,0,1,United States,-Orange California-,https://www.sherdog.com/fighter/Daniel-Alvarez-105881
mark caseau,None,None,None,None,None,None,0,2,None,None,https://www.sherdog.com/fighter/Mark-Caseau-11566
joao amaral,None,None,None,None,None,None,1,3,None,None,https://www.sherdog.com/fighter/Joao-Amaral-1564
matthew fredette,None,None,67,135,socal fight factory,bantamweight,0,0,United States,-Palmdale California-,https://www.sherdog.com/fighter/Matthew-Fredette-157603
moses ruiz,None,None,70,145,team bodyshop,featherweight,0,0,United States,-Bellflower California-,https://www.sherdog.com/fighter/Moses-Ruiz-197075
joe cuff,None,None,None,None,None,None,1,3,USA,None,https://www.sherdog.com/fighter/Joe-Cuff-1561
ryan ciotoli,None,None,72,155,tai-kai,lightweight,3,1,None,None,https://www.sherdog.com/fighter/Ryan-Ciotoli-11807
joe cervantes,04/10/1973,48,68,155,freestyle fighting academy,lightweight,5,3,USA,-Miami Florida-,https://www.sherdog.com/fighter/Joe-Cervantes-1565
tim tran,None,None,67,145,millennia mma,featherweight,0,0,United States,-Rancho Cucamonga California-,https://www.sherdog.com/fighter/Tim-Tran-138125
don kaecher,None,None,66,155,None,lightweight,7,1,United States,-Pittsburgh Pennsylvania-,https://www.sherdog.com/fighter/Don-Kaecher-1540
jay palmquist,None,None,None,None,None,None,2,1,None,None,https://www.sherdog.com/fighter/Jay-Palmquist-26048
ac gamez,None,None,69,178,None,middleweight,0,2,USA,-Miami Florida-,https://www.sherdog.com/fighter/AC-Gamez-1016
patrick tenorio,None,None,67,170,neo warrior mma,welterweight,1,0,United States,-29 Palms California-,https://www.sherdog.com/fighter/Patrick-Tenorio-76879
josh rafferty,01/6/1981,41,72,169,meat truck inc.,welterweight,9,8,United States,-Cincinnati Ohio-,https://www.sherdog.com/fighter/Josh-Rafferty-2682
chris kenney,None,None,None,None,None,None,0,2,None,None,https://www.sherdog.com/fighter/Chris-Kenney-26079
steve gomm,10/30/1978,43,71,179,None,middleweight,7,7,United States,-Salt Lake City Utah-,https://www.sherdog.com/fighter/Steve-Gomm-928
josue garibay,None,None,71,155,None,lightweight,0,0,United States,-Duarte California-,https://www.sherdog.com/fighter/Josue-Garibay-197235
clay coffman,None,None,None,None,None,None,0,0,None,None,https://www.sherdog.com/fighter/Clay-Coffman-30608
jd stanley,None,None,None,None,team quest,None,9,2,United States,None,https://www.sherdog.com/fighter/JD-Stanley-6891
john brennan,None,None,None,None,None,None,1,2,None,None,https://www.sherdog.com/fighter/John-Brennan-1856
alan francis perez,None,None,69,151,None,lightweight,0,0,United States,-San Jose California-,https://www.sherdog.com/fighter/Alan-Francis-Perez-71629
jeff walcott,None,None,None,None,None,None,0,0,None,None,https://www.sherdog.com/fighter/Jeff-Walcott-34666
jay schoenleber,None,None,None,None,white buffalo warriors,None,0,2,None,None,https://www.sherdog.com/fighter/Jay-Schoenleber-6892
larry mintor,None,None,None,None,None,None,1,4,None,None,https://www.sherdog.com/fighter/Larry-Mintor-855
jonathan del rosario,None,None,None,155,None,lightweight,1,1,United States,-Los Angeles California-,https://www.sherdog.com/fighter/Jonathan-Del-Rosario-71630
anthony dariano,None,None,69,145,american kickboxing academy,featherweight,1,0,United States,-San Jose California-,https://www.sherdog.com/fighter/Anthony-Dariano-75599
aaron james,None,None,None,None,None,None,1,1,None,None,https://www.sherdog.com/fighter/Aaron-James-29515
wallid zarriffi,None,None,None,None,None,None,4,1,None,None,https://www.sherdog.com/fighter/Wallid-Zarriffi-875
chris minor,11/23/1983,38,None,170,None,welterweight,0,1,United States,-Columbus Ohio-,https://www.sherdog.com/fighter/Chris-Minor-126057
eric lopez,None,None,68,155,farley's kickboxing academy,lightweight,0,0,United States,-Santa Cruz California-,https://www.sherdog.com/fighter/Eric-Lopez-161363
rob williams,None,None,None,200,charlie's combat club,light heavyweight,1,0,USA,-Washington-,https://www.sherdog.com/fighter/Rob-Williams-29512
kc kc,None,None,None,None,None,None,2,2,None,None,https://www.sherdog.com/fighter/KC-KC-958
justin taylor,12/28/1986,35,None,170,None,welterweight,0,0,United States,None,https://www.sherdog.com/fighter/Justin-Taylor-126473
nick rizos,05/24/1986,35,72,170,None,welterweight,0,0,United States,-Columbus Ohio-,https://www.sherdog.com/fighter/Nick-Rizos-85734
bristol marunde,04/20/1982,39,73,171,syndicate mma,welterweight,16,10,United States,-Las Vegas Nevada-,https://www.sherdog.com/fighter/Bristol-Marunde-12961
gabriel sage,None,None,None,None,None,None,1,1,None,None,https://www.sherdog.com/fighter/Gabriel-Sage-960
josh blankenship,06/18/1987,34,None,162,legacy fight club,welterweight,0,0,United States,-Buford Georgia-,https://www.sherdog.com/fighter/Josh-Blankenship-77737
tom murfield,01/9/1982,40,67,185,None,middleweight,0,0,United States,-Delaware Ohio-,https://www.sherdog.com/fighter/Tom-Murfield-85735
jared freeman,None,None,None,None,None,None,2,1,None,None,https://www.sherdog.com/fighter/Jared-Freeman-8277
mike moening,None,None,None,None,None,None,2,5,None,None,https://www.sherdog.com/fighter/Mike-Moening-847
larry daughtery,None,None,None,None,None,None,0,0,None,None,https://www.sherdog.com/fighter/Larry-Daughtery-77738
mike seibert,07/17/1989,32,None,168,None,welterweight,0,0,United States,None,https://www.sherdog.com/fighter/Mike-Seibert-207273
kevin schey,None,None,None,None,None,None,0,0,None,None,https://www.sherdog.com/fighter/Kevin-Schey-32375
jason wiggins,05/13/1978,43,69,170,knuckle up,welterweight,8,8,United States,-Myrtle Beach South Carolina-,https://www.sherdog.com/fighter/Jason-Wiggins-952
matt crush,None,None,None,None,None,None,3,0,None,None,https://www.sherdog.com/fighter/Matt-Crush-857
joe wheeler,08/28/1989,32,None,185,None,middleweight,0,0,United States,None,https://www.sherdog.com/fighter/Joe-Wheeler-258505
keith burnell,None,None,None,None,None,None,0,1,None,None,https://www.sherdog.com/fighter/Keith-Burnell-873
andrew piltch,None,None,None,None,None,None,2,2,None,None,https://www.sherdog.com/fighter/Andrew-Piltch-739
brian geronimo,None,None,None,None,None,None,0,1,None,None,https://www.sherdog.com/fighter/Brian-Geronimo-858
owen phelps,None,None,None,None,None,None,3,2,None,None,https://www.sherdog.com/fighter/Owen-Phelps-835
cameron mullin,None,None,None,None,None,None,0,2,None,None,https://www.sherdog.com/fighter/Cameron-Mullin-953
brandon shuey,02/1/1976,46,67,145,team hardcore,featherweight,7,6,USA,-Boise Idaho-,https://www.sherdog.com/fighter/Brandon-Shuey-1849
nino calenjay,None,None,None,None,None,None,0,5,None,None,https://www.sherdog.com/fighter/Nino-Calenjay-836
chris meyers,None,None,None,145,None,featherweight,3,7,United States,-Columbus Ohio-,https://www.sherdog.com/fighter/Chris-Meyers-869
mike berardi,12/25/1981,40,71,176,None,middleweight,10,2,USA,-Vernon New Jersey-,https://www.sherdog.com/fighter/Mike-Berardi-954
jon martin,None,None,None,None,None,None,2,1,None,None,https://www.sherdog.com/fighter/Jon-Martin-31555
john gonzalez,None,None,None,None,None,None,1,0,None,None,https://www.sherdog.com/fighter/John-Gonzalez-3315
jacob duran,07/31/1978,43,67,160,team damage,welterweight,0,2,USA,-Phoenix Arizona-,https://www.sherdog.com/fighter/Jacob-Duran-870
abu marshal,None,None,None,None,None,None,1,0,None,None,https://www.sherdog.com/fighter/Abu-Marshal-25300
ralf alacorn,None,None,None,None,None,None,0,0,None,None,https://www.sherdog.com/fighter/Ralf-Alacorn-33604
luis guillian,None,None,None,None,None,None,2,0,None,None,https://www.sherdog.com/fighter/Luis-Guillian-29475
felipe chavez,None,None,None,135,mean1 mma,bantamweight,6,4,United States,-Albuquerque New Mexico-,https://www.sherdog.com/fighter/Felipe-Chavez-12597
matt van skyhock,None,None,None,None,None,None,0,2,None,None,https://www.sherdog.com/fighter/Matt-Van-Skyhock-25301
jose orozco,None,None,None,155,mma masters,lightweight,1,2,United States,-Miami Beach Florida-,https://www.sherdog.com/fighter/Jose-Orozco-9283
jose de la cruz,None,None,None,None,None,None,2,3,None,None,https://www.sherdog.com/fighter/Jose-De-La-Cruz-4601
mike hallow,None,None,None,None,None,None,1,0,None,None,https://www.sherdog.com/fighter/Mike-Hallow-32292
marven lemock,None,None,71,205,None,light heavyweight,6,1,United States,-Indiana-,https://www.sherdog.com/fighter/Marven-Lemock-43401
strerling springs,None,None,None,None,desert dogs,None,0,0,None,None,https://www.sherdog.com/fighter/Strerling-Springs-31275
sean haley,07/24/1975,46,69,170,oregon jiu-jitsu,welterweight,2,6,United States,-Portland Oregon-,https://www.sherdog.com/fighter/Sean-Haley-2845
juan  espino,None,None,None,185,None,middleweight,0,1,United States,-New Mexico-,https://www.sherdog.com/fighter/Juan-Espino-32303
jack o'neil,None,None,None,None,None,None,0,14,None,None,https://www.sherdog.com/fighter/Jack-ONeil-15198
andrew russell,None,None,None,None,None,None,0,0,None,None,https://www.sherdog.com/fighter/Andrew-Russell-31280
mike lore,None,None,None,None,None,None,0,2,None,None,https://www.sherdog.com/fighter/Mike-Lore-6757
mike jonet,None,None,65,145,victory athletics,featherweight,7,11,USA,-Olympia Washington-,https://www.sherdog.com/fighter/Mike-Jonet-1139
mike  medov,None,None,None,None,None,None,0,0,None,None,https://www.sherdog.com/fighter/Mike-Medov-39086
brian  salada,None,None,None,None,None,None,1,0,None,None,https://www.sherdog.com/fighter/Brian-Salada-38698
matt lininger,None,None,68,165,victory athletics,welterweight,11,8,United States,-Yelm Washington-,https://www.sherdog.com/fighter/Matt-Lininger-6231
rob mendez,None,None,None,None,None,None,1,0,United States,-Boise Idaho-,https://www.sherdog.com/fighter/Rob-Mendez-31642
mike villabos,None,None,None,None,None,None,0,2,None,None,https://www.sherdog.com/fighter/Mike-Villabos-6759
raymond  black,None,None,None,None,None,None,0,0,None,None,https://www.sherdog.com/fighter/Raymond-Black-38699
james marohl,None,None,74,155,victory athletics,lightweight,3,3,United States,-Longview Washington-,https://www.sherdog.com/fighter/James-Marohl-21237
cody roberts,None,None,None,None,None,None,0,0,None,None,https://www.sherdog.com/fighter/Cody-Roberts-24721
zach skinner,None,None,66,135,victory athletics,bantamweight,10,12,United States,-Olympia Washington-,https://www.sherdog.com/fighter/Zach-Skinner-2843
mike santana,None,None,None,None,None,None,0,1,None,None,https://www.sherdog.com/fighter/Mike-Santana-28884
kale bradford,None,None,None,None,charlie's combat club,None,0,0,None,None,https://www.sherdog.com/fighter/Kale-Bradford-52428
kyle fugelston,None,None,None,None,None,None,1,1,None,None,https://www.sherdog.com/fighter/Kyle-Fugelston-6466
scott aarhaus,None,None,None,None,None,None,1,0,United States,None,https://www.sherdog.com/fighter/Scott-Aarhaus-53183
tom jenkins,None,None,None,None,None,None,0,1,None,None,https://www.sherdog.com/fighter/Tom-Jenkins-7493
chris jensen,None,None,None,None,team quest,None,3,0,United States,-Gresham Oregon-,https://www.sherdog.com/fighter/Chris-Jensen-13797
justin curtiss,None,None,None,None,None,None,0,0,USA,-Spokane Washington-,https://www.sherdog.com/fighter/Justin-Curtiss-24718
chris garcia,None,None,None,170,charlie's combat club,welterweight,3,1,United States,-Everett Washington-,https://www.sherdog.com/fighter/Chris-Garcia-52398
chris styff,None,None,None,None,None,None,1,4,None,None,https://www.sherdog.com/fighter/Chris-Styff-9543
jason chuckelnaskit,None,None,None,None,None,None,0,1,United States,None,https://www.sherdog.com/fighter/Jason-Chuckelnaskit-52418
tim cary,None,None,None,None,None,None,0,0,None,None,https://www.sherdog.com/fighter/Tim-Cary-24719
muhammed mustafa,None,None,None,None,None,None,0,0,None,None,https://www.sherdog.com/fighter/Muhammed-Mustafa-52618
asa lind,None,None,None,None,None,None,0,0,None,None,https://www.sherdog.com/fighter/Asa-Lind-31585
rob action,None,None,None,None,None,None,0,1,None,None,https://www.sherdog.com/fighter/Rob-Action-4236
wyatt bassham,None,None,None,None,None,None,0,0,None,None,https://www.sherdog.com/fighter/Wyatt-Bassham-46216
bryan caraway,08/4/1984,37,69,135,xtreme couture,bantamweight,22,9,United States,-Seattle Washington-,https://www.sherdog.com/fighter/Bryan-Caraway-13791
jonny hoffman,None,None,None,None,None,None,1,0,None,None,https://www.sherdog.com/fighter/Jonny-Hoffman-6878
gord cummings,None,None,None,None,None,None,0,3,Canada,-Vanderhoof British Colombia-,https://www.sherdog.com/fighter/Gord-Cummings-4237
jeff sweeney,None,None,68,170,arlington kickboxing academy,welterweight,5,3,United States,-Arlington Washington-,https://www.sherdog.com/fighter/Jeff-Sweeney-35656
robbie walden,None,None,None,None,None,None,0,0,None,None,https://www.sherdog.com/fighter/Robbie-Walden-34891
jeff clausen,None,None,None,None,None,None,0,0,None,None,https://www.sherdog.com/fighter/Jeff-Clausen-31600
jeremy whittingham,None,None,None,155,None,lightweight,2,1,Canada,-Vancouver British Colombia-,https://www.sherdog.com/fighter/Jeremy-Whittingham-4238
steven rogers,None,None,None,None,None,None,0,1,None,None,https://www.sherdog.com/fighter/Steven-Rogers-30228
brandon smith,None,None,None,None,None,None,0,2,None,None,https://www.sherdog.com/fighter/Brandon-Smith-13110
george kassimatis,07/4/1974,47,73,170,kel-lees academy,welterweight,6,3,Canada,-Vancouver British Columbia-,https://www.sherdog.com/fighter/George-Kassimatis-11438
chad hamzeh,None,None,65,135,elite training centre,bantamweight,6,4,Canada,-Calgary Alberta-,https://www.sherdog.com/fighter/Chad-Hamzeh-4239
jas malhi,None,None,None,None,None,None,0,1,None,None,https://www.sherdog.com/fighter/Jas-Malhi-17040
matt fisher,None,None,None,None,None,None,0,0,None,None,https://www.sherdog.com/fighter/Matt-Fisher-34819
jeremy ekkert,None,None,None,None,richmond martial arts,None,0,2,Canada,-Richmond British Columbia-,https://www.sherdog.com/fighter/Jeremy-Ekkert-30405
chris tolentino,None,None,68,155,gibson kickboxing & pankration,lightweight,2,1,Canada,-British Columbia-,https://www.sherdog.com/fighter/Chris-Tolentino-5976
justin livingston,None,None,None,155,soares jiu-jitsu,lightweight,1,2,Canada,-Vancouver British Colombia-,https://www.sherdog.com/fighter/Justin-Livingston-4799
brian grimshaw,08/18/1985,36,None,170,revolution fight team,welterweight,6,2,Canada,-Chilliwack British Columbia-,https://www.sherdog.com/fighter/Brian-Grimshaw-17039
rob bastone,03/27/1970,51,69,155,tofino judo club,lightweight,3,2,Canada,-Victoria British Columbia-,https://www.sherdog.com/fighter/Rob-Bastone-40122
fab sztabkawski,None,None,None,None,None,None,0,1,None,None,https://www.sherdog.com/fighter/Fab-Sztabkawski-30624
mike adams,None,None,63,135,toshido mixed martial arts,bantamweight,7,4,Canada,-Kelowna British Columbia-,https://www.sherdog.com/fighter/Mike-Adams-4798
dave swindell,None,None,None,None,None,None,0,1,None,None,https://www.sherdog.com/fighter/Dave-Swindell-22991
kelly le blanc,None,None,None,None,None,None,0,3,None,None,https://www.sherdog.com/fighter/Kelly-le-Blanc-26064
tarek gabali,None,None,None,155,zugec ultimate martial arts,lightweight,4,0,Canada,-Victoria British Columbia-,https://www.sherdog.com/fighter/Tarek-Gabali-40120
brad cardinal,07/2/1978,43,72,149,cardinal jiu jitsu and mma,lightweight,17,9,Canada,-Calgary Alberta-,https://www.sherdog.com/fighter/Brad-Cardinal-10423
graham spencer,02/24/1984,37,67,155,impact mma nanaimo,lightweight,10,1,Canada,-Nanaimo British Columbia-,https://www.sherdog.com/fighter/Graham-Spencer-23905
keegan marshall,None,None,74,186,impact mma nanaimo,middleweight,1,1,Canada,-Nanaimo British Columbia-,https://www.sherdog.com/fighter/Keegan-Marshall-26056
rob withers,None,None,None,None,None,None,0,2,None,None,https://www.sherdog.com/fighter/Rob-Withers-19601
jaime renne,None,None,None,None,None,None,0,4,None,None,https://www.sherdog.com/fighter/Jaime-Renne-7871
charlie zac,None,None,None,None,revolution fight team,None,2,3,None,None,https://www.sherdog.com/fighter/Charlie-Zac-25720
marcus aurelio,05/4/1986,35,69,170,axe capoeira,welterweight,6,2,Brazil,-Recife-,https://www.sherdog.com/fighter/Marcus-Aurelio-14502
ryan chiappe,None,None,70,170,revolution fight team,welterweight,10,8,Canada,-Prince George British Columbia-,https://www.sherdog.com/fighter/Ryan-Chiappe-19118
brent trabenik,None,None,None,None,None,None,1,0,Canada,-Kelowna British Colombia-,https://www.sherdog.com/fighter/Brent-Trabenik-7866
doug read,None,None,None,None,None,None,1,2,None,None,https://www.sherdog.com/fighter/Doug-Read-22163
bastien huveneers,None,None,74,196,ryan's mma - checkmat vancouver,light heavyweight,9,4,Canada,-Vancouver British Columbia-,https://www.sherdog.com/fighter/Bastien-Huveneers-12269
dave belanger,None,None,None,None,None,None,2,1,None,None,https://www.sherdog.com/fighter/Dave-Belanger-19116
jc cousins,None,None,None,None,None,None,1,2,None,None,https://www.sherdog.com/fighter/JC-Cousins-22288
ken joly,None,None,None,None,None,None,0,2,None,None,https://www.sherdog.com/fighter/Ken-Joly-22169
kiarash moghaddam,None,None,None,169,lions mma vancouver,welterweight,0,0,Canada,-North Vancouver British Columbia-,https://www.sherdog.com/fighter/Kiarash-Moghaddam-30399
jordan foster,None,None,None,None,None,None,0,0,None,None,https://www.sherdog.com/fighter/Jordan-Foster-32201
jason randle,None,None,71,185,bowman's mma,middleweight,2,1,Canada,-Fort Vermillion Alberta-,https://www.sherdog.com/fighter/Jason-Randle-22403
jonathan dubois,None,None,None,179,columbia martial arts,middleweight,1,8,Canada,-Burnaby British Columbia-,https://www.sherdog.com/fighter/Jonathan-Dubois-14823
dustin dickerson,None,None,None,None,sunshine coast mma,None,0,3,Canada,-Sunshine Coast British Columbia-,https://www.sherdog.com/fighter/Dustin-Dickerson-23038
david  correa,None,None,None,None,None,None,0,0,United States,-Washington-,https://www.sherdog.com/fighter/David-Correa-186751
saun baur,None,None,None,None,None,None,0,0,None,None,https://www.sherdog.com/fighter/Saun-Baur-44180
leonardo xavier,None,None,73,170,lions mma vancouver,welterweight,4,1,Brazil,-Sao Paulo-,https://www.sherdog.com/fighter/Leonardo-Xavier-30400
brian booth,07/10/1990,31,None,185,None,middleweight,4,3,United States,-Yorkville Illinois-,https://www.sherdog.com/fighter/Brian-Booth-23042
chuck betker,None,None,None,None,None,None,0,0,United States,None,https://www.sherdog.com/fighter/Chuck-Betker-233251
justin reason,None,None,None,None,None,None,0,2,None,None,https://www.sherdog.com/fighter/Justin-Reason-44181
chris  everitt,None,None,None,185,None,middleweight,0,0,Canada,-British Columbia-,https://www.sherdog.com/fighter/Chris-Everitt-189773
tom angeloff,None,None,74,170,rothwell mma,welterweight,7,6,United States,-Kenosha Wisconsin-,https://www.sherdog.com/fighter/Tom-Angeloff-82837
john soliz,05/5/1980,41,75,185,miletich fighting systems,middleweight,2,1,United States,-Rock Island Illinois-,https://www.sherdog.com/fighter/John-Soliz-97407
nate baker,None,None,70,171,None,welterweight,5,4,United States,-Moorhead Minnesota-,https://www.sherdog.com/fighter/Nate-Baker-47607
jason ehresmann,None,None,67,160,None,welterweight,6,24,United States,None,https://www.sherdog.com/fighter/Jason-Ehresmann-32718
jeff behnke,None,None,None,None,metz's combat club,None,1,0,None,None,https://www.sherdog.com/fighter/Jeff-Behnke-58396
evan thompson,06/26/1984,37,75,186,team pitch black,middleweight,5,3,United States,-Dallas Texas-,https://www.sherdog.com/fighter/Evan-Thompson-60431
sheldon martin,None,None,69,155,academy of combat arts,lightweight,7,9,United States,-Moorhead Minnesota-,https://www.sherdog.com/fighter/Sheldon-Martin-15671
