name,birthDate,age,height,weight,association,fighterClass,win,loss,nationality,locality,url
dib kaddah,11/22/1991,30,68,143,cleveland state mma club,featherweight,0,0,United States,-Westlake Ohio-,https://www.sherdog.com/fighter/Dib-Kaddah-112517
julio aguilera,None,None,71,155,team quest,lightweight,0,2,United States,-Murrieta California-,https://www.sherdog.com/fighter/Julio-Aguilera-99119
thomas landeros,12/14/1993,28,66,135,united mixed martial arts,bantamweight,1,1,United States,-Whittier California-,https://www.sherdog.com/fighter/Thomas-Landeros-128071
mario micale,06/13/1986,35,65,135,evolve mma,bantamweight,0,0,United States,-Akron Ohio-,https://www.sherdog.com/fighter/Mario-Micale-75145
darnell pettis,12/30/1990,31,66,127,brickhouse boxing,bantamweight,0,3,United States,-Bedford Ohio-,https://www.sherdog.com/fighter/Darnell-Pettis-112515
andre camarena,None,None,68,155,None,lightweight,0,0,United States,-San Gabriel California-,https://www.sherdog.com/fighter/Andre-Camarena-139187
michael witzerman,None,None,66,145,ufc gym,featherweight,0,0,United States,-San Pedro California-,https://www.sherdog.com/fighter/Michael-Witzerman-195873
joseph dabila,None,None,69,125,None,flyweight,0,0,United States,-Ravenna Ohio-,https://www.sherdog.com/fighter/Joseph-Dabila-83206
chris mckinney,07/23/1987,34,66,135,sam's gym,bantamweight,1,2,United States,-Beckley West Virginia-,https://www.sherdog.com/fighter/Chris-McKinney-126043
dakota hughes,None,None,68,155,ring of fire mma,lightweight,0,0,United States,-Monrovia California-,https://www.sherdog.com/fighter/Dakota-Hughes-197291
ronald henderson,None,None,60,125,black house mma,flyweight,0,0,United States,-Los Angeles California-,https://www.sherdog.com/fighter/Ronald-Henderson-193609
artie ortega,None,None,64,145,None,featherweight,0,0,United States,-Westminster California-,https://www.sherdog.com/fighter/Artie-Ortega-195871
james douglas ballinger,None,None,72,145,georgetown mma,featherweight,2,9,United States,-Georgetown Kentucky-,https://www.sherdog.com/fighter/James-Douglas-Ballinger-48032
anthony williams,None,None,67,155,csw,lightweight,0,0,United States,-Covina California-,https://www.sherdog.com/fighter/Anthony-Williams-197171
jeremy gendreau,None,None,64,125,ol' skool boxing,flyweight,0,0,United States,-La Mirada California-,https://www.sherdog.com/fighter/Jeremy-Gendreau-139179
jose manuel huerta,08/20/1991,30,63,125,alliance mma,flyweight,1,1,United States,-Torrance California-,https://www.sherdog.com/fighter/Jose-Manuel-Huerta-230985
jim hettes,06/9/1987,34,69,145,northeast jiu-jitsu,featherweight,11,3,United States,-Swoyersville Pennsylvania-,https://www.sherdog.com/fighter/Jim-Hettes-48046
fernando    gonzalez,None,None,67,145,imac,featherweight,0,0,United States,-Anaheim California-,https://www.sherdog.com/fighter/Fernando-Gonzalez-193555
justin hormann,None,None,68,125,tapout los angeles,flyweight,0,0,United States,-Los Angeles California-,https://www.sherdog.com/fighter/Justin-Hormann-139175
john moore,None,None,66,135,team ed keller,bantamweight,0,0,United States,-Santa Clarita California-,https://www.sherdog.com/fighter/John-Moore-149991
bobby gorham,None,None,69,145,None,featherweight,1,5,United States,-Pennsylvania-,https://www.sherdog.com/fighter/Bobby-Gorham-20964
craig ramirez,None,None,70,145,subfighter mma,featherweight,0,0,United States,-Lakewood California-,https://www.sherdog.com/fighter/Craig-Ramirez-193557
nick gentile,None,None,68,150,None,lightweight,0,1,None,None,https://www.sherdog.com/fighter/Nick-Gentile-83268
steven baker,None,None,70,135,primal fighting systems,bantamweight,3,9,United States,-Wilmington Delaware-,https://www.sherdog.com/fighter/Steven-Baker-42041
marc purcell,None,None,None,None,None,None,0,3,None,None,https://www.sherdog.com/fighter/Marc-Purcell-14935
mark rodriguez,None,None,None,145,None,featherweight,0,0,United States,None,https://www.sherdog.com/fighter/Mark-Rodriguez-53260
mike manion,None,None,None,None,None,None,0,0,None,None,https://www.sherdog.com/fighter/Mike-Manion-42042
jack wilmarth,None,None,None,None,None,None,4,2,None,None,https://www.sherdog.com/fighter/Jack-Wilmarth-11558
marcos signorelli,None,None,None,None,None,None,1,1,None,None,https://www.sherdog.com/fighter/Marcos-Signorelli-33378
justin hickey,None,None,67,135,jackson-wink mma,bantamweight,7,3,United States,-Woodbridge Virginia-,https://www.sherdog.com/fighter/Justin-Hickey-40837
julio rosario,08/25/1977,44,69,140,renzo gracie philly,featherweight,3,4,United States,-Philadelphia Pennsylvania-,https://www.sherdog.com/fighter/Julio-Rosario-60906
mark caseau,None,None,None,None,None,None,0,2,None,None,https://www.sherdog.com/fighter/Mark-Caseau-11566
james delorfano,None,None,None,None,None,None,1,0,None,None,https://www.sherdog.com/fighter/James-Delorfano-36589
mackens semerzier,11/3/1980,41,69,145,team curran,featherweight,8,4,United States,-Virginia Beach Virginia-,https://www.sherdog.com/fighter/Mackens-Semerzier-38841
ryan vaccaro,None,None,68,145,bjj shore academy,featherweight,6,4,United States,-Point Pleasant New Jersey-,https://www.sherdog.com/fighter/Ryan-Vaccaro-60668
joe cuff,None,None,None,None,None,None,1,3,USA,None,https://www.sherdog.com/fighter/Joe-Cuff-1561
michael phillips,11/10/1979,42,70,144,hybrid academy of martial arts,featherweight,7,4,United States,-Virginia Beach Virginia-,https://www.sherdog.com/fighter/Michael-Phillips-37741
jeff lentz,02/26/1989,32,69,144,pellegrino mma,featherweight,11,7,United States,-Lanoka Harbor New Jersey-,https://www.sherdog.com/fighter/Jeff-Lentz-42815
don kaecher,None,None,66,155,None,lightweight,7,1,United States,-Pittsburgh Pennsylvania-,https://www.sherdog.com/fighter/Don-Kaecher-1540
joshua mizelle,02/18/1987,34,None,135,None,bantamweight,0,0,United States,-Portsmouth Virginia-,https://www.sherdog.com/fighter/Joshua-Mizelle-370566
joshua schmeer,None,None,None,159,None,welterweight,0,0,United States,None,https://www.sherdog.com/fighter/Joshua-Schmeer-128031
josh rafferty,01/6/1981,41,72,169,meat truck inc.,welterweight,9,8,United States,-Cincinnati Ohio-,https://www.sherdog.com/fighter/Josh-Rafferty-2682
louis johnson,03/22/1990,31,68,155,None,lightweight,3,1,United States,-Virginia-,https://www.sherdog.com/fighter/Louis-Johnson-146743
keith whitehead,None,None,None,135,None,bantamweight,0,0,United States,-Virginia-,https://www.sherdog.com/fighter/Keith-Whitehead-169141
clay coffman,None,None,None,None,None,None,0,0,None,None,https://www.sherdog.com/fighter/Clay-Coffman-30608
diego sanchez,12/31/1981,40,70,170,jackson-wink mma,welterweight,30,13,United States,-Albuquerque New Mexico-,https://www.sherdog.com/fighter/Diego-Sanchez-4824
dreon martin,04/6/1992,29,68,155,martinsville fight club,lightweight,1,8,United States,-Martinsville Virginia-,https://www.sherdog.com/fighter/Dreon-Martin-260833
don ross,None,None,None,135,None,bantamweight,0,0,United States,None,https://www.sherdog.com/fighter/Don-Ross-370543
jeff walcott,None,None,None,None,None,None,0,0,None,None,https://www.sherdog.com/fighter/Jeff-Walcott-34666
michael  johnson,None,None,None,170,None,welterweight,1,2,United States,-Norman Oklahoma-,https://www.sherdog.com/fighter/Michael-Johnson-3679
jeremiah scott,10/20/1993,28,69,155,relson gracie jiu-jitsu,lightweight,8,6,United States,-Myrtle Beach South Carolina-,https://www.sherdog.com/fighter/Jeremiah-Scott-209595
stephen smith,None,None,None,135,None,bantamweight,0,0,United States,-Virginia-,https://www.sherdog.com/fighter/Stephen-Smith-370557
mike mercado,None,None,None,None,None,None,0,1,United States,None,https://www.sherdog.com/fighter/Mike-Mercado-117201
david sachs,None,None,65,135,lionheart mma,bantamweight,10,4,United States,-Pittsburgh Pennsylvania-,https://www.sherdog.com/fighter/David-Sachs-7999
eric bordner,None,None,None,155,None,lightweight,0,0,United States,-South Carolina-,https://www.sherdog.com/fighter/Eric-Bordner-389081
ben willard,None,None,None,145,None,featherweight,0,1,United States,None,https://www.sherdog.com/fighter/Ben-Willard-102875
charles huguley,None,None,None,135,None,bantamweight,0,0,United States,-Virginia Beach Virginia-,https://www.sherdog.com/fighter/Charles-Huguley-370614
kaushik sen,None,None,65,135,tiger's gym and fight club,bantamweight,0,2,India,-Kolkata West Bengal-,https://www.sherdog.com/fighter/Kaushik-Sen-31794
dan swift,01/15/1975,47,68,145,team jorge gurgel,featherweight,20,26,United States,-Erie Pennsylvania-,https://www.sherdog.com/fighter/Dan-Swift-3512
brett roberts,None,None,None,145,None,featherweight,0,0,United States,None,https://www.sherdog.com/fighter/Brett-Roberts-102877
erik harris,None,None,66,145,team revolution,featherweight,0,0,United States,-Spartanburg South Carolina-,https://www.sherdog.com/fighter/Erik-Harris-372939
frank young,10/1/1984,37,68,145,miletich martial arts,featherweight,10,23,United States,-Iowa-,https://www.sherdog.com/fighter/Frank-Young-10005
joe woody,None,None,None,None,None,None,0,0,None,None,https://www.sherdog.com/fighter/Joe-Woody-28895
bobby wolf,None,None,None,None,None,None,0,1,None,None,https://www.sherdog.com/fighter/Bobby-Wolf-7285
alex faglier,None,None,71,157,None,welterweight,0,0,United States,None,https://www.sherdog.com/fighter/Alex-Faglier-102879
paul scott,None,None,None,None,None,None,0,2,None,None,https://www.sherdog.com/fighter/Paul-Scott-10987
ted reynolds,None,None,None,None,None,None,2,17,None,None,https://www.sherdog.com/fighter/Ted-Reynolds-15634
dmitry beyer,None,None,None,None,None,None,1,2,None,None,https://www.sherdog.com/fighter/Dmitry-Beyer-1903
michael dotson,09/5/1985,36,None,146,None,featherweight,0,0,None,None,https://www.sherdog.com/fighter/Michael-Dotson-72043
michael osbourn,None,None,None,None,None,None,0,0,None,None,https://www.sherdog.com/fighter/Michael-Osbourn-25675
tim hernandez,10/28/1969,52,70,165,None,welterweight,0,1,USA,-Davenport Iowa-,https://www.sherdog.com/fighter/Tim-Hernandez-24620
john paun,12/16/1978,43,67,154,top notch fitness,lightweight,5,6,United States,-South Holland Illinois-,https://www.sherdog.com/fighter/John-Paun-1024
jewel snell,03/11/1982,39,None,146,None,featherweight,1,0,None,None,https://www.sherdog.com/fighter/Jewel-Snell-72042
anderson hutchinson,03/6/1987,34,68,140,None,featherweight,7,3,United States,-DeLand Florida-,https://www.sherdog.com/fighter/Anderson-Hutchinson-135951
daryn herzberg,None,None,None,None,None,None,0,0,None,None,https://www.sherdog.com/fighter/Daryn-Herzberg-24618
rob singleton,None,None,None,None,None,None,0,0,None,None,https://www.sherdog.com/fighter/Rob-Singleton-24720
esteban galvan,08/28/1986,35,68,150,None,lightweight,0,0,United States,-San Antonio Texas-,https://www.sherdog.com/fighter/Esteban-Galvan-76115
tom oetting,10/25/1989,32,70,164,None,welterweight,0,0,United States,-Palm Coast Florida-,https://www.sherdog.com/fighter/Tom-Oetting-206205
ray lemke,None,None,None,None,None,None,0,0,None,None,https://www.sherdog.com/fighter/Ray-Lemke-24619
shaun stoffer,06/4/1991,30,72,155,None,lightweight,1,3,United States,-Orlando Florida-,https://www.sherdog.com/fighter/Shaun-Stoffer-141039
russell sweeney,11/20/1985,36,72,155,force krav maga,lightweight,0,0,United States,-Jacksonville Florida-,https://www.sherdog.com/fighter/Russell-Sweeney-121049
john hewitt,None,None,None,205,no remorse,light heavyweight,0,0,United States,-Kaneohe Hawaii-,https://www.sherdog.com/fighter/John-Hewitt-57926
dominic stouder,01/18/1992,30,79,185,team ares,middleweight,1,4,United States,-Jacksonville Florida-,https://www.sherdog.com/fighter/Dominic-Stouder-135939
antonio hernaez,None,None,None,170,fight sports daytona,welterweight,0,0,United States,-Port Orange Florida-,https://www.sherdog.com/fighter/Antonio-Hernaez-370103
randy newell,02/4/1978,44,69,150,None,lightweight,0,0,United States,-Lake Mary Florida-,https://www.sherdog.com/fighter/Randy-Newell-133091
makana vertido,None,None,None,205,god's army,light heavyweight,0,1,United States,-Makaha Hawaii-,https://www.sherdog.com/fighter/Makana-Vertido-42023
josh marlett,None,None,None,185,None,middleweight,0,0,United States,-Florida-,https://www.sherdog.com/fighter/Josh-Marlett-370078
calen holcomb,04/17/1985,36,77,170,None,welterweight,0,2,United States,-Cocoa Beach Florida-,https://www.sherdog.com/fighter/Calen-Holcomb-135943
john sykes,10/23/1985,36,70,155,None,lightweight,0,1,United States,-Casselberry Florida-,https://www.sherdog.com/fighter/John-Sykes-133093
ben fonoti,None,None,None,None,None,None,0,1,None,None,https://www.sherdog.com/fighter/Ben-Fonoti-20336
travis hutchins,None,None,None,185,None,middleweight,0,0,United States,-Florida-,https://www.sherdog.com/fighter/Travis-Hutchins-370083
daniel martinez,None,None,None,155,gracie tampa,lightweight,1,0,United States,-Biloxi Mississippi-,https://www.sherdog.com/fighter/Daniel-Martinez-89997
jerry stewart,None,None,70,200,None,light heavyweight,1,4,United States,-Virginia-,https://www.sherdog.com/fighter/Jerry-Stewart-102535
maui wolfgramm,None,None,74,205,mma development,light heavyweight,4,0,United States,-Waiahole Hawaii-,https://www.sherdog.com/fighter/Maui-Wolfgramm-20333
john michael escoboza,07/17/1990,31,None,170,None,welterweight,1,3,United States,-Hialeah Florida-,https://www.sherdog.com/fighter/John-Michael-Escoboza-217211
patrick abram,04/30/1992,29,None,183,None,middleweight,0,3,United States,-Augusta Georgia-,https://www.sherdog.com/fighter/Patrick-Abram-82639
adam sepulveda,12/19/1990,31,73,181,american top team fort lauderdale,middleweight,4,3,United States,-Charleston West Virginia-,https://www.sherdog.com/fighter/Adam-Sepulveda-22341
ron verdadero,None,None,None,187,jesus is lord,light heavyweight,5,9,USA,-Hawaii-,https://www.sherdog.com/fighter/Ron-Verdadero-1877
samuel dillion,None,None,None,170,None,welterweight,0,0,United States,-Florida-,https://www.sherdog.com/fighter/Samuel-Dillion-371403
andrew  wise,None,None,None,170,None,welterweight,0,0,United States,-Melbourne Florida-,https://www.sherdog.com/fighter/Andrew-Wise-50047
john gardner,None,None,None,None,ringskills combat sports academy,None,0,0,None,None,https://www.sherdog.com/fighter/John-Gardner-29756
cj fernandes,11/13/1977,44,72,170,hit squad,welterweight,14,8,United States,-Granite City Illinois-,https://www.sherdog.com/fighter/CJ-Fernandes-261
jay martinez,None,None,None,183,csw,middleweight,8,3,None,None,https://www.sherdog.com/fighter/Jay-Martinez-364
david sumter,None,None,None,None,None,None,0,0,USA,None,https://www.sherdog.com/fighter/David-Sumter-64977
james busch,None,None,None,None,None,None,0,0,None,None,https://www.sherdog.com/fighter/James-Busch-29760
scott ward,None,None,None,None,None,None,3,3,None,None,https://www.sherdog.com/fighter/Scott-Ward-9156
kapo kapo,None,None,None,None,None,None,0,1,None,None,https://www.sherdog.com/fighter/Kapo-Kapo-20821
andy wang,05/28/1977,44,66,155,grappling unlimited,lightweight,8,9,United States,-Los Angeles California-,https://www.sherdog.com/fighter/Andy-Wang-1331
mark smith,12/24/1973,48,73,290,beverly hills jiu-jitsu club,super heavyweight,10,9,United States,-Simi Valley California-,https://www.sherdog.com/fighter/Mark-Smith-363
jeff gerlick,None,None,None,293,None,super heavyweight,7,5,United States,-Chicago Illinois-,https://www.sherdog.com/fighter/Jeff-Gerlick-4974
joe geromiller,None,None,69,185,pro gym,middleweight,9,12,United States,-Caseyville Illinois-,https://www.sherdog.com/fighter/Joe-Geromiller-2082
brandon melendez,03/24/1983,38,70,170,elite performance,welterweight,25,25,United States,-Bountiful Utah-,https://www.sherdog.com/fighter/Brandon-Melendez-10515
richard crompton,None,None,None,None,None,None,0,1,None,None,https://www.sherdog.com/fighter/Richard-Crompton-11632
tim sylvia,03/5/1974,47,80,265,team extreme,heavyweight,31,10,United States,-Bettendorf Iowa-,https://www.sherdog.com/fighter/Tim-Sylvia-1061
scott ventimiglia,11/17/1972,49,69,185,war room mma,middleweight,14,6,United States,-Wood River Illinois-,https://www.sherdog.com/fighter/Scott-Ventimiglia-391
ethan warren,None,None,72,185,colorado brazilian jiu-jitsu,middleweight,0,0,United States,-Denver Colorado-,https://www.sherdog.com/fighter/Ethan-Warren-36186
chris rossiter,None,None,None,None,None,None,2,0,None,None,https://www.sherdog.com/fighter/Chris-Rossiter-30998
mark geoffry,None,None,None,None,None,None,0,0,None,None,https://www.sherdog.com/fighter/Mark-Geoffry-27544
lee avery,None,None,None,None,None,None,0,1,None,None,https://www.sherdog.com/fighter/Lee-Avery-11139
erik williams,None,None,71,180,None,middleweight,0,3,United States,-Cheyenne Wyoming-,https://www.sherdog.com/fighter/Erik-Williams-105867
dave young,None,None,None,None,None,None,0,0,None,None,https://www.sherdog.com/fighter/Dave-Young-31000
robert densley,None,None,69,155,absolute mma,lightweight,9,10,United States,-Salt Lake City Utah-,https://www.sherdog.com/fighter/Robert-Densley-17185
ronan bell,None,None,None,None,None,None,1,1,None,None,https://www.sherdog.com/fighter/Ronan-Bell-34957
mackenzie roquemore,None,None,72,205,None,light heavyweight,0,0,United States,-Canon City Colorado-,https://www.sherdog.com/fighter/Mackenzie-Roquemore-117931
edward smith,None,None,None,None,None,None,0,0,United States,-New Mexico-,https://www.sherdog.com/fighter/Edward-Smith-73836
nate tayborn,None,None,66,175,None,middleweight,3,3,USA,-Salt Lake City Utah-,https://www.sherdog.com/fighter/Nate-Tayborn-34994
jim pope,None,None,None,None,None,None,1,4,None,None,https://www.sherdog.com/fighter/Jim-Pope-6259
larry lloyd,None,None,None,185,indie fight team,middleweight,0,0,United States,-Glenrock Wyoming-,https://www.sherdog.com/fighter/Larry-Lloyd-66529
dj barnes,None,None,None,None,None,None,1,0,United States,None,https://www.sherdog.com/fighter/DJ-Barnes-51321
jared bringhurst,None,None,None,None,None,None,0,1,None,None,https://www.sherdog.com/fighter/Jared-Bringhurst-34999
mark nolan,None,None,None,None,None,None,0,0,None,None,https://www.sherdog.com/fighter/Mark-Nolan-6261
jason blackley,None,None,None,185,None,middleweight,0,0,United States,-Casper Wyoming-,https://www.sherdog.com/fighter/Jason-Blackley-66530
greg aguilar,None,None,None,None,None,None,0,1,United States,None,https://www.sherdog.com/fighter/Greg-Aguilar-51322
trent standing,08/5/1974,47,75,280,curt's ultimate fitness,super heavyweight,4,9,None,None,https://www.sherdog.com/fighter/Trent-Standing-6337
jared mathews,None,None,72,259,None,heavyweight,0,0,United States,-Oregon-,https://www.sherdog.com/fighter/Jared-Mathews-32520
michael garner,None,None,None,None,None,None,0,0,United States,None,https://www.sherdog.com/fighter/Michael-Garner-56152
brandon mihaljcic,None,None,None,None,None,None,0,0,None,None,https://www.sherdog.com/fighter/Brandon-Mihaljcic-33742
shawn murray,None,None,None,None,None,None,0,0,None,None,https://www.sherdog.com/fighter/Shawn-Murray-6340
ben kobernick,None,None,None,None,None,None,0,1,None,None,https://www.sherdog.com/fighter/Ben-Kobernick-17543
corey scheer,None,None,None,None,None,None,0,1,United States,None,https://www.sherdog.com/fighter/Corey-Scheer-56118
jason pittman,None,None,77,217,None,heavyweight,2,0,United States,-Oregon-,https://www.sherdog.com/fighter/Jason-Pittman-86790
wade mccone,None,None,None,None,None,None,0,0,United States,-Oregon-,https://www.sherdog.com/fighter/Wade-McCone-62350
jd stockton,None,None,None,None,None,None,1,0,None,None,https://www.sherdog.com/fighter/JD-Stockton-17542
jake villanueva,None,None,None,None,None,None,0,0,United States,None,https://www.sherdog.com/fighter/Jake-Villanueva-56404
kile beck,None,None,74,230,portland thai boxing,heavyweight,0,1,United States,-Portland Oregon-,https://www.sherdog.com/fighter/Kile-Beck-55846
brandon pitts,None,None,75,185,team quest,middleweight,2,2,United States,-Portland Oregon-,https://www.sherdog.com/fighter/Brandon-Pitts-59676
sheldon tupua,None,None,None,205,None,light heavyweight,0,0,None,None,https://www.sherdog.com/fighter/Sheldon-Tupua-64302
bobby rudel,None,None,None,223,None,heavyweight,0,0,None,None,https://www.sherdog.com/fighter/Bobby-Rudel-84130
kelly gray,None,None,72,204,team mica,light heavyweight,4,5,United States,-Las Vegas Nevada-,https://www.sherdog.com/fighter/Kelly-Gray-23141
billy bob,None,None,None,196,None,light heavyweight,0,0,None,None,https://www.sherdog.com/fighter/Billy-Bob-59677
jake zeliff,None,None,None,205,None,light heavyweight,0,0,United States,None,https://www.sherdog.com/fighter/Jake-Zeliff-51640
h.j. bishop,12/31/1970,52,74,225,team trinity,heavyweight,0,0,United States,-McMinnville Oregon-,https://www.sherdog.com/fighter/HJ-Bishop-58976
eric  wenzel,None,None,None,245,None,heavyweight,4,5,United States,-Rock Springs Wyoming-,https://www.sherdog.com/fighter/Eric-Wenzel-36532
jake smith,02/24/1991,30,69,170,american top team portland,welterweight,7,4,United States,-Anaheim California-,https://www.sherdog.com/fighter/Jake-Smith-62964
david yakel,None,None,None,None,None,None,0,1,None,None,https://www.sherdog.com/fighter/David-Yakel-50892
corey kuhlman,None,None,77,250,None,heavyweight,0,0,None,None,https://www.sherdog.com/fighter/Corey-Kuhlman-58975
mike suspenzi,None,None,None,None,None,None,0,0,None,None,https://www.sherdog.com/fighter/Mike-Suspenzi-55430
john garcia,None,None,None,165,None,welterweight,0,0,None,None,https://www.sherdog.com/fighter/John-Garcia-64304
jaime jackson,None,None,None,None,None,None,1,0,None,None,https://www.sherdog.com/fighter/Jaime-Jackson-50891
john simon,12/24/1989,32,None,185,None,middleweight,5,2,United States,-Parkersburg Iowa-,https://www.sherdog.com/fighter/John-Simon-111181
rod jaques,None,None,69,170,art of war mma,welterweight,0,3,United States,-Sweet Home Oregon-,https://www.sherdog.com/fighter/Rod-Jaques-58986
shawn smith,None,None,None,195,None,light heavyweight,0,0,United States,None,https://www.sherdog.com/fighter/Shawn-Smith-58701
rob gamble,None,None,None,165,None,welterweight,0,0,None,None,https://www.sherdog.com/fighter/Rob-Gamble-68560
travis gwin,None,None,None,185,None,middleweight,0,0,United States,-Oregon-,https://www.sherdog.com/fighter/Travis-Gwin-111183
kash raymond,None,None,75,205,None,light heavyweight,0,0,None,None,https://www.sherdog.com/fighter/Kash-Raymond-58985
nathan gunderson,None,None,None,None,None,None,0,0,None,None,https://www.sherdog.com/fighter/Nathan-Gunderson-47323
sean snow,None,None,None,163,None,welterweight,0,0,None,None,https://www.sherdog.com/fighter/Sean-Snow-68561
dalton justice,None,None,None,160,None,welterweight,0,0,None,None,https://www.sherdog.com/fighter/Dalton-Justice-74122
doug steinbach,None,None,71,205,impact jiu-jitsu,light heavyweight,0,0,United States,-Beaverton Oregon-,https://www.sherdog.com/fighter/Doug-Steinbach-61827
zach eason,None,None,None,None,None,None,0,0,None,None,https://www.sherdog.com/fighter/Zach-Eason-47324
sean santana,None,None,None,169,None,welterweight,0,0,None,None,https://www.sherdog.com/fighter/Sean-Santana-64299
robyn lasky,None,None,None,None,None,None,0,1,None,None,https://www.sherdog.com/fighter/Robyn-Lasky-24426
brandon pelky,None,None,72,185,kut throat committee,middleweight,0,0,United States,-Albany Oregon-,https://www.sherdog.com/fighter/Brandon-Pelky-65671
chris kidby,None,None,None,205,None,light heavyweight,0,0,None,None,https://www.sherdog.com/fighter/Chris-Kidby-61385
mike cassaro,None,None,None,152,None,lightweight,0,1,None,None,https://www.sherdog.com/fighter/Mike-Cassaro-59428
josh provincio,None,None,None,None,None,None,2,0,None,None,https://www.sherdog.com/fighter/Josh-Provincio-21431
mike swehla,None,None,None,None,None,None,0,0,None,None,https://www.sherdog.com/fighter/Mike-Swehla-48165
david garibay,None,None,None,191,None,light heavyweight,0,0,None,None,https://www.sherdog.com/fighter/David-Garibay-66634
rich boedigheimer,None,None,70,154,None,lightweight,0,0,United States,None,https://www.sherdog.com/fighter/Rich-Boedigheimer-59427
joel garvin,None,None,None,None,None,None,2,3,None,None,https://www.sherdog.com/fighter/Joel-Garvin-21421
kelly mcmillan,None,None,None,None,None,None,0,0,None,None,https://www.sherdog.com/fighter/Kelly-McMillan-48164
brian neer,None,None,72,205,None,light heavyweight,0,0,United States,-Oregon-,https://www.sherdog.com/fighter/Brian-Neer-54994
robert wilson,None,None,None,None,None,None,2,1,None,None,https://www.sherdog.com/fighter/Robert-Wilson-52874
william griego,None,None,None,None,None,None,0,2,None,None,https://www.sherdog.com/fighter/William-Griego-21424
