fighterName,birthDate,age,height,weight,fighterClass,win,loss,locality,country
italo rafael abreu de andrade,12/14/1989, 31,[66],125,Flyweight,2,0,"Natal, Rio Grande do Norte",Brazil
kleverson cardozo,None,None,None,135,Bantamweight,7,2,"Natal, Rio Grande do Norte",Brazil
nonato junior,11/19/1993, 27,[67],145,Featherweight,4,2,"Viana, Maranhao",Brazil
beatriz barros,None,None,None,115,Strawweight,0,1,"Juazeiro do Norte, Ceará",Brazil
natalia alves de lima,None,None,None,115,Strawweight,1,0,"Mossoro, Rio Grande do Norte",Brazil
mateus linhares,04/27/1996, 25,[70],145,Featherweight,5,2,"Caxias, Maranhao",Brazil
joelmir da silva gadelha,05/10/1985, 35,None,145,Featherweight,4,2,"Caico, Rio Grande do Norte",Brazil
wesley micael,None,None,None,185,Middleweight,0,1,"Cazajeiras, Paraiba",Brazil
cameron ansel,10/21/1999, 21,[72],155,Lightweight,0,3,"Plano, Texas",United States
shane shapiro,None,None,[68],155,Lightweight,1,0,"Las Vegas, Nevada",United States
nadine mandiau,10/19/1991, 29,[67],125,Flyweight,1,2,Peer,Belgium
claire guthrie,09/19/1995, 25,[66],125,Flyweight,2,1,"St. Joseph, Michigan",United States
richard luis,None,None,[72],265,Heavyweight,2,3,"Everett, Washington",United States
thomas petersen,None,None,[73],258,Heavyweight,4,0,"Farmington, Minnesota",United States
joe boerschig,03/15/1989, 32,[68],170,Welterweight,6,4,"Bozeman, Montana",United States
josh quinlan,02/06/1993, 28,[72],170,Welterweight,5,0,"Las Vegas, Nevada",United States
jordan mapa,04/14/1995, 26,[69],145,Featherweight,3,3,"San Mateo, California",United States
michael stack,09/06/1994, 26,[72],145,Featherweight,5,1,"Fort Collins, Colorado",United States
lovethpatra young,08/09/1989, 31,[62],115,Strawweight,3,1,"Los Angeles, California",United States
kelly d'angelo,02/04/1987, 34,[62],115,Strawweight,4,4,"St. Louis, Missouri",United States
guilherme santos,07/07/1997, 23,[68],145,Featherweight,8,4,"Manaus, Amazonas",Brazil
jose martinez,11/21/1990, 30,[68],155,Lightweight,11,5,"Tonkawa, Oklahoma",United States
kamuela kirk,04/13/1994, 27,[69],145,Featherweight,10,4,Arizona,United States
jacob rosales,07/28/1995, 25,[70],155,Lightweight,13,6,"La Habra, California",United States
muzamel saddiqi,None,None,None,135,Bantamweight,0,1,Kabul,Afghanistan
chris wright,None,None,None,145,Featherweight,0,0,Florida,United States
ilay barzilay,None,None,None,145,Featherweight,0,0,None,Israel
maurice wilson,None,None,[72],175,Middleweight,2,3,"Pasadena, California",United States
kristien ruffin,06/23/1995, 25,[71],218,Heavyweight,0,0,"Susanville, California",United States
chance crosby,09/05/1997, 23,None,185,Middleweight,0,0,Georgia,United States
jamal barnes,None,None,None,185,Middleweight,0,0,"Panama City Beach, Florida",United States
liam fisher,None,None,None,145,Featherweight,0,0,Florida,United States
nathan altland,08/27/1997, 23,None,145,Featherweight,0,0,"Panama City Beach, Florida",United States
brandon mcdonald,None,None,None,170,Welterweight,0,0,Florida,United States
angel martinez,None,None,None,170,Welterweight,0,0,Florida,United States
nicholas lonnie,None,None,None,135,Bantamweight,0,0,"Tifton, Georgia",United States
nate campbell,None,None,None,135,Bantamweight,0,0,Florida,United States
sahil rana,None,None,None,135,Bantamweight,4,0,Chandigarh,India
payal sharma,None,None,None,125,Flyweight,0,1,Uttrakhand,India
mankomal kaur,None,None,None,125,Flyweight,1,0,Chandigarh,India
aftab khan,None,None,None,145,Featherweight,0,1,"Karnal, Haryana",India
sayed firoz haidari,None,None,[66],145,Featherweight,2,1,Kabul,Afghanistan
roopak kumar,None,None,[66],155,Lightweight,1,1,Chandigarh,India
mohit arya,12/07/2001, 19,None,145,Featherweight,3,0,Bengalore,India
sarita kumari,None,None,None,115,Strawweight,0,1,"Panipat, Haryana",India
zeba bano,10/07/1998, 22,[63],115,Strawweight,6,0,"Haryana, Delhi",India
mansagar singh,None,None,None,185,Middleweight,1,1,Chandigarh,India
farhan saddiqi,None,None,None,185,Middleweight,1,0,Mumbai,India
vijay rana,None,None,None,165,Welterweight,0,1,Chandigarh,India
shubham mehara,None,None,None,235,Heavyweight,0,1,Uttarpardesh,India
apratim sarkar,None,None,[70],230,Heavyweight,3,0,None,India
saidguseyn surkhaev,None,None,[69],154,Lightweight,2,0,Sochi,Russia
zokirzhon khoshimov,None,None,None,125,Flyweight,10,5,Odintsovo,Russia
magomed kamalov,None,None,[66],125,Flyweight,5,1,None,Russia
fedor babich,None,None,[68],155,Lightweight,4,5,Rudny,Kazakhstan
murad bilarov,None,None,[70],155,Lightweight,4,1,None,Russia
dmitriy krivulets,None,None,[73],185,Middleweight,5,3,None,Russia
murtaza talha ali,None,None,[72],205,Light Heavyweight,3,0,None,Bahrain
yuriy verenitsen,01/23/1986, 35,[71],155,Lightweight,4,3,"Maykop, Adygea",Russia
khunkar-pasha osmaev,None,None,None,155,Lightweight,11,6,"Grozny, Chechnya",Russia
abdisalam kubanychbek,06/04/1994, 26,[70],155,Lightweight,17,2,Bishkek,Kyrgyzstan
jahongir saidjamolov,09/22/1995, 25,[69],170,Welterweight,15,5,Dushanbe,Tajikistan
andrey lezhnev,None,None,[66],145,Featherweight,19,9,None,Ukraine
magomed abdusalamov,None,None,None,145,Featherweight,6,0,Moscow,Russia
zhyrgalbek chomonov,07/22/1983, 37,[72],243,Heavyweight,8,2,Osh,Kyrgyzstan
konstantin erokhin,01/02/1983, 38,[71],205,Light Heavyweight,10,4,Moscow,Russia
nurzhan akishev,06/01/1993, 27,[68],145,Featherweight,11,3,None,Kazakhstan
roman bogatov,12/15/1990, 30,[69],155,Lightweight,None,None,Orenburg,Russia
oleg lichkovakha,10/01/1996, 24,[64],125,Flyweight,14,5,"Gusev, Kaliningrad",Russia
ali bagautinov,06/12/1985, 35,[64],125,Flyweight,21,7,Dagestan,Russia
mauro paixao,11/09/1984, 36,[67],145,Featherweight,9,3,"Sete Lagoas, Minas Gerais",Brazil
